MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        27.10,        27.00,        28.45,        25.75,        28.30,                  1417425.00,52500, ,        84.00,        25.30
N,SM,HVAX,HVAX TECHNOLOGIES LIMITED,       775.00,       736.25,       810.00,       736.25,       810.00,                   822022.50,1050, ,      1029.30,       544.50
N,SM,IBLFL,IBL FINANCE LIMITED,        47.10,        49.10,        49.40,        46.75,        48.05,                   585900.00,12000, ,        74.00,        44.80
N,SM,IDEALTECHO,IDEAL TECHNOPLAST IND LTD,       213.00,       200.00,       200.00,       200.00,       200.00,                   500000.00,2500, ,       228.00,       119.20
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        17.20,        17.95,        18.15,        17.95,        18.15,                    72200.00,4000, ,        56.00,        17.05
N,SM,IEML,INDIAN EMULSIFIERS LTD,        72.55,        74.80,        74.80,        71.35,        72.00,                  1671800.00,23000, ,       211.95,        71.10
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        60.50,        60.00,        60.00,        60.00,        60.00,                    72000.00,1200, ,        78.25,        42.40
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       220.00,       228.50,       229.65,       215.00,       220.00,                  1237225.00,5500, ,       337.00,       210.00
N,SM,INFLUX,INFLUX HEALTHTECH LIMITED,       221.80,       223.40,       230.00,       223.00,       225.15,                  3919470.00,17400, ,       261.95,       120.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       351.00,       354.90,       354.90,       343.40,       353.00,                  1117820.00,3200, ,       575.00,       325.50
N,SM,INNOMET,INNOMET ADVANCED MATERI L,        72.50,        72.55,        72.55,        69.25,        69.25,                   254880.00,3600, ,       216.00,        68.95
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        71.15,        71.15,        71.15,        71.15,        71.15,                     7470.75,105, ,       152.40,        28.25
N,SM,INTEGRITY,INTEGRITY INFRABUILD DE L,       127.50,       130.00,       130.00,       130.00,       130.00,                   156000.00,1200, ,       145.10,        81.70
N,SM,INM,INTERIORS & MORE LIMITED,       180.85,       185.00,       185.00,       171.10,       171.10,                  1492230.00,8400, ,       689.00,       170.00
N,SM,INVICTA,INVICTA DIAGNOSTIC LTD,        64.50,        63.05,        63.05,        63.05,        63.05,                   100880.00,1600, ,       105.00,        60.20
N,SM,ITALIANE,ITALIAN EDIBLES LIMITED,        28.50,        28.45,        28.45,        28.45,        28.45,                    56900.00,2000, ,        42.30,        24.05
N,ST,IWARE,IWARE SUPPLYCHAIN SER LTD,       230.45,       238.00,       238.00,       232.75,       236.50,                  1418400.00,6000, ,       243.90,        70.05
N,SM,JAINIK,JAINIK POWER CABLES LTD,       131.00,       128.00,       131.00,       128.00,       130.00,                  1090440.00,8400, ,       153.10,        60.60
N,SM,JAYBEE,JAY BEE LAMINATIONS LTD,        79.50,        80.00,        86.85,        78.00,        81.70,                  8975200.00,109500, ,       307.65,        78.00
N,ST,KORE,JAY JALARAM TECHNO LTD,       141.50,       136.05,       136.05,       135.45,       135.45,                   135750.00,1000, ,       319.70,       110.20
N,SM,JAYESH,JAYESH LOGISTICS LIMITED,       156.95,       160.00,       163.00,       154.00,       155.85,                 12094150.00,76000, ,       183.00,       106.35
N,SM,JEYYAM,JEYYAM GLOBAL FOODS LTD,        42.40,        40.25,        41.30,        40.00,        40.45,                  2344600.00,58000, ,        74.50,        31.00
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        10.95,        10.95,        10.95,        10.95,        10.95,                    65700.00,6000, ,        22.35,        10.00
N,SM,JIWANRAM,JIWANRAM SHEODUTTRA IND L,         5.30,         5.25,         5.25,         5.25,         5.25,                    94500.00,18000, ,        11.80,         4.80
N,SM,JYOTIGLOBL,JYOTI GLOBAL PLAST LTD,        46.00,        45.00,        45.00,        43.20,        44.50,                   532700.00,12000, ,        77.75,        35.45
N,SM,K2INFRA,K2 INFRAGEN LIMITED,        64.00,        62.05,        64.60,        62.05,        63.35,                   612870.00,9600, ,       138.50,        52.50
N,SM,KKJEWELS,KABRA JEWELS LIMITED,        89.50,        90.00,        94.00,        90.00,        91.85,                  2591000.00,28000, ,       229.00,        84.00
N,SM,KANDARP,KANDARP DG SMART BPO LTD,       150.00,       152.95,       152.95,       144.00,       144.05,                   441050.00,3000, ,       160.00,        50.00
N,ST,KARNIKA,KARNIKA INDUSTRIES LTD,       113.10,       114.00,       118.75,       113.50,       118.10,                   934550.00,8000, ,       973.00,       112.25
N,SM,KATARIA,KATARIA INDUSTRIES LTD,       103.35,       109.95,       109.95,       102.05,       102.25,                   562050.00,5400, ,       131.40,        85.50
N,SM,KLL,KAUSHALYA LOGISTICS LTD,        42.60,        42.50,        43.85,        42.25,        42.40,                  1370560.00,32000, ,       112.00,        40.60
N,SM,KCEIL,KAY CEE ENERGY & INFRA L,       116.20,       118.75,       138.00,       118.00,       135.80,                 14142175.00,109500, ,       388.05,       108.00
N,SM,KAYTEX,KAYTEX FABRICS LIMITED,        57.50,        57.45,        57.50,        57.10,        57.50,                   183640.00,3200, ,       156.90,        54.50
N,SM,KCK,KCK INDUSTRIES LTD,        21.60,        21.60,        21.60,        21.60,        21.60,                   108000.00,5000, ,        54.50,        15.80
N,SM,KEN,KEN ENTERPRISES LIMITED,        44.50,        44.50,        44.50,        43.25,        43.85,                   421500.00,9600, ,        85.00,        35.25
N,SM,KHFM,KHFM HOS FAC MANA SER LTD,        67.10,        64.00,        72.95,        64.00,        72.95,                   212272.50,3100, ,       102.80,        54.50
N,ST,KODYTECH,KODY TECHNOLAB LIMITED,       740.00,       735.00,       752.00,       730.00,       752.00,                  1927730.00,2600, ,      1351.00,       556.05
N,SM,KONSTELEC,KONSTELEC ENGINEERS LTD,        42.90,        43.45,        43.45,        41.25,        41.95,                   333150.00,8000, ,       114.85,        38.50
N,SM,KONTOR,KONTOR SPACE LIMITED,        61.00,        73.00,        73.00,        60.00,        60.00,                   261600.00,4200, ,       102.00,        53.25
N,ST,KDL,KORE DIGITAL LIMITED,       147.75,       147.00,       147.00,       141.85,       142.55,                  2455935.00,17100, ,       564.95,       135.20
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,       209.65,       209.65,       212.00,       205.00,       209.00,                  1053075.00,5000, ,       768.00,       191.20
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       185.55,       184.00,       186.75,       184.00,       185.90,                   742225.00,4000, ,       300.00,       150.00
N,ST,KRMAYURVED,KRM AYURVEDA LIMITED,       173.90,       169.00,       181.00,       169.00,       176.70,                 19187650.00,109000, ,       184.00,       156.15
N,SM,LAKSHYA,LAKSHYA POWERTECH LIMITED,       119.20,       119.20,       119.95,       119.20,       119.50,                   478200.00,4000, ,       270.00,       102.25
N,SM,LAMOSAIC,LAMOSAIC INDIA LIMITED,        29.80,        29.00,        30.30,        29.00,        29.85,                   105690.00,3600, ,        63.85,        24.50
N,SM,LRRPL,LEAD REC AND RUB PROD LTD,        63.15,        63.00,        63.00,        63.00,        63.00,                   189000.00,3000, ,        99.50,        48.60
N,SM,MVKAGRO,M.V.K. AGRO FOOD PROD LTD,       611.50,       624.90,       624.90,       590.05,       610.10,                  6034500.00,9900, ,       819.00,        32.05
N,SM,MACOBSTECH,MACOBS TECHNOLOGIES LTD,       218.90,       215.00,       215.00,       212.00,       212.00,                   512800.00,2400, ,       246.95,       150.60
N,SM,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,       138.15,       136.50,       136.50,       135.00,       135.00,                   271500.00,2000, ,       212.00,       108.60
N,SM,MAGSON,MAGSON RETAIL AND DIST L,       138.00,       135.00,       137.60,       135.00,       137.60,                   272600.00,2000, ,       166.10,        75.50
N,SM,MRIL,MAHENDRA REALTO & INFRA L,        56.00,        52.10,        53.00,        52.10,        53.00,                   251680.00,4800, ,        82.00,        49.15
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,       168.50,       174.40,       174.40,       155.00,       165.65,                  6748462.50,42000, ,       185.00,        95.20
N,SM,MAITREYA,MAITREYA MEDICARE LIMITED,       204.00,       197.00,       197.00,       196.00,       196.00,                   157200.00,800, ,       329.00,       188.05
N,SM,MPEL,MANAS POLYMER N ENERGIE L,        60.00,        60.00,        60.00,        60.00,        60.00,                    96000.00,1600, ,       153.90,        55.00
N,SM,MANAV,MANAV INFRA PROJECTS LTD,        28.85,        29.90,        29.90,        29.90,        29.90,                   119600.00,4000, ,        31.70,        10.50
N,SM,MAL,MANGALAM ALLOYS LIMITED,        50.10,        49.00,        49.00,        47.60,        47.60,                   916800.00,19200, ,        80.20,        26.25
N,SM,MIEL,MANGLAM INFRA & ENG LTD,        16.50,        16.90,        17.30,        16.50,        16.50,                   101400.00,6000, ,        38.00,        16.00
N,SM,MARC,MARC TECHNOCRATS LIMITED,        53.30,        52.75,        52.75,        52.50,        52.50,                   252600.00,4800, ,        74.40,        40.75
N,ST,MARINETRAN,MARINETRANS INDIA LIMITED,        18.95,        18.95,        19.85,        18.05,        19.85,                   371800.00,20000, ,        28.20,        13.30
N,SM,MDL,MARVEL DECOR LIMITED,        54.80,        49.05,        51.00,        47.00,        50.50,                   637800.00,13000, ,       124.50,        47.00
N,SM,MASON,MASON INFRATECH LIMITED,       176.65,       180.00,       181.00,       180.00,       180.00,                   270500.00,1500, ,       220.00,        73.50
N,SM,MASTER,MASTER COMPONENTS LIMITED,       320.35,       315.00,       315.00,       315.00,       315.00,                   157500.00,500, ,       436.00,       258.40
N,SM,MAXPOSURE,MAXPOSURE LIMITED,        40.40,        39.15,        39.85,        38.25,        38.90,                   391450.00,10000, ,        85.00,        37.20
N,ST,MAXVOLT,MAXVOLT ENERGY INDUS L,       329.30,       329.30,       331.00,       312.85,       312.85,                 26621680.00,84800, ,       509.00,       145.05
N,ST,MCON,MCON RASAYAN INDIA LTD,        54.10,        53.85,        53.85,        53.05,        53.05,                   106900.00,2000, ,       172.00,        53.05
N,SM,MEDIORG,MEDICAMEN ORGANICS LTD,        25.10,        25.00,        25.00,        25.00,        25.00,                    50000.00,2000, ,        49.70,        19.60
N,SM,MEGATHERM,MEGATHERM INDUCTION LTD,       215.65,       217.40,       217.40,       207.10,       216.00,                  1021700.00,4800, ,       380.00,       192.55
N,ST,MILTON,MILTON INDUSTRIES LIMITED,        51.00,        50.00,        50.00,        50.00,        50.00,                   220000.00,4400, ,        53.50,        24.85
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        42.00,        40.20,        41.50,        39.90,        40.70,                   662325.00,16500, ,        70.95,        35.15
N,SM,MONOLITH,MONOLITHISCH INDIA LTD,       470.30,       465.50,       470.00,       465.00,       466.65,                  3270387.50,7000, ,       607.40,       219.45
N,SM,MOS,MOS UTILITY LIMITED,        20.45,        20.45,        20.45,        19.80,        19.95,                 20243800.00,1012000, ,       301.00,        19.50
N,SM,MMEL,MOVING MEDIA ENTER LTD,        42.95,        40.00,        40.85,        40.00,        40.80,                  1052900.00,26000, ,        84.45,        37.80
N,ST,MOXSH,MOXSH OVERSEAS EDUCON LTD,        81.00,        81.20,        85.00,        81.20,        85.00,                  1616640.00,19200, ,       101.15,        25.50
N,SM,MUNISH,MUNISH FORGE LIMITED,        75.40,        78.35,        78.35,        72.05,        74.65,                 20080260.00,276000, ,       143.00,        72.00
N,SM,MYMUDRA,MY MUDRA FINCORP LIMITED,        78.90,        76.10,        77.95,        76.00,        76.00,                   549660.00,7200, ,       119.10,        51.60
N,ST,NRVANDANA,N R VANDANA TEX IND LTD,        59.70,        57.00,        57.15,        57.00,        57.05,                   855750.00,15000, ,        72.90,        37.05
N,SM,NAMAN,NAMAN INDUSTRE PRXIMA LTD,        59.95,        59.95,        59.95,        59.95,        59.95,                    95920.00,1600, ,       119.95,        55.75
N,SM,NAMOEWASTE,NAMO EWASTE MANAGEMENT L,       181.15,       181.15,       183.00,       181.00,       182.00,                  1743160.00,9600, ,       229.90,       127.00
N,SM,NEELAM,NEELAM LINENS & GAR (I) L,        14.95,        15.55,        15.55,        14.90,        15.25,                   548400.00,36000, ,        40.85,        10.95
N,SM,NEOCHEM,NEOCHEM BIO SOLUTIONS LTD,        76.00,        76.50,        79.00,        76.50,        78.75,                  2049060.00,26400, ,       113.40,        71.00
N,SM,NEPHROCARE,NEPHRO CARE INDIA LIMITED,        99.00,        99.00,       102.00,        99.00,       101.00,                   684400.00,6800, ,       204.80,        94.50
